libelle_region,code_region,date,indicateur,valeur
Bretagne,53,01/01/2019,Puissance installée d'électricité par panneaux solaires photovoltaïques (kw),45047.0
Bretagne,53,01/01/2020,Puissance installée d'électricité par panneaux solaires photovoltaïques (kw),49583.0
Bretagne,53,01/01/2021,Puissance installée d'électricité par panneaux solaires photovoltaïques (kw),59504.0
Bretagne,53,01/01/2022,Puissance installée d'électricité par panneaux solaires photovoltaïques (kw),87957.0
Bretagne,53,01/01/2023,Puissance installée d'électricité par panneaux solaires photovoltaïques (kw),119192.0
Bretagne,53,01/01/2024,Puissance installée d'électricité par panneaux solaires photovoltaïques (kw),187864.0
Bretagne,53,01/01/2008,Production d'électricité par panneaux solaires photovoltaïques (Mwh),60.0
Bretagne,53,01/01/2009,Production d'électricité par panneaux solaires photovoltaïques (Mwh),1781.0
Bretagne,53,01/01/2010,Production d'électricité par panneaux solaires photovoltaïques (Mwh),10507.0
Bretagne,53,01/01/2011,Production d'électricité par panneaux solaires photovoltaïques (Mwh),39560.0
Bretagne,53,01/01/2012,Production d'électricité par panneaux solaires photovoltaïques (Mwh),66567.0
Bretagne,53,01/01/2013,Production d'électricité par panneaux solaires photovoltaïques (Mwh),77870.0
Bretagne,53,01/01/2014,Production d'électricité par panneaux solaires photovoltaïques (Mwh),91192.0
Bretagne,53,01/01/2015,Production d'électricité par panneaux solaires photovoltaïques (Mwh),98819.0
Bretagne,53,01/01/2016,Production d'électricité par panneaux solaires photovoltaïques (Mwh),104793.0
Bretagne,53,01/01/2017,Production d'électricité par panneaux solaires photovoltaïques (Mwh),188032.0
Bretagne,53,01/01/2018,Production d'électricité par panneaux solaires photovoltaïques (Mwh),204902.0
Bretagne,53,01/01/2019,Production d'électricité par panneaux solaires photovoltaïques (Mwh),225716.0
Bretagne,53,01/01/2020,Production d'électricité par panneaux solaires photovoltaïques (Mwh),226302.0
Bretagne,53,01/01/2021,Production d'électricité par panneaux solaires photovoltaïques (Mwh),285521.0
Bretagne,53,01/01/2022,Production d'électricité par panneaux solaires photovoltaïques (Mwh),351253.0
Bretagne,53,01/01/2023,Production d'électricité par panneaux solaires photovoltaïques (Mwh),430430.0
Bretagne,53,01/01/2024,Production d'électricité par panneaux solaires photovoltaïques (Mwh),543372.0
Bretagne,53,01/01/2000,Production d'électricité par panneaux solaires thermiques (Mwh),0.0
Bretagne,53,01/01/2001,Production d'électricité par panneaux solaires thermiques (Mwh),0.0
Bretagne,53,01/01/2002,Production d'électricité par panneaux solaires thermiques (Mwh),96.0
Bretagne,53,01/01/2003,Production d'électricité par panneaux solaires thermiques (Mwh),747.0
Bretagne,53,01/01/2004,Production d'électricité par panneaux solaires thermiques (Mwh),1531.0
Bretagne,53,01/01/2005,Production d'électricité par panneaux solaires thermiques (Mwh),2830.0
Bretagne,53,01/01/2006,Production d'électricité par panneaux solaires thermiques (Mwh),5426.0
Bretagne,53,01/01/2007,Production d'électricité par panneaux solaires thermiques (Mwh),7980.0
Bretagne,53,01/01/2008,Production d'électricité par panneaux solaires thermiques (Mwh),10595.0
Bretagne,53,01/01/2009,Production d'électricité par panneaux solaires thermiques (Mwh),13163.0
Bretagne,53,01/01/2010,Production d'électricité par panneaux solaires thermiques (Mwh),15757.0
Bretagne,53,01/01/2011,Production d'électricité par panneaux solaires thermiques (Mwh),18348.0
Bretagne,53,01/01/2012,Production d'électricité par panneaux solaires thermiques (Mwh),20951.0
Bretagne,53,01/01/2013,Production d'électricité par panneaux solaires thermiques (Mwh),23512.0
Bretagne,53,01/01/2014,Production d'électricité par panneaux solaires thermiques (Mwh),26106.0
Bretagne,53,01/01/2015,Production d'électricité par panneaux solaires thermiques (Mwh),28699.0
Bretagne,53,01/01/2016,Production d'électricité par panneaux solaires thermiques (Mwh),31290.0
Bretagne,53,01/01/2017,Production d'électricité par panneaux solaires thermiques (Mwh),33892.0
Bretagne,53,01/01/2018,Production d'électricité par panneaux solaires thermiques (Mwh),35240.0
Bretagne,53,01/01/2019,Production d'électricité par panneaux solaires thermiques (Mwh),36259.0
Bretagne,53,01/01/2020,Production d'électricité par panneaux solaires thermiques (Mwh),36894.0
Bretagne,53,01/01/2021,Production d'électricité par panneaux solaires thermiques (Mwh),37777.0
Bretagne,53,01/01/2022,Production d'électricité par panneaux solaires thermiques (Mwh),40162.0
Bretagne,53,01/01/2023,Production d'électricité par panneaux solaires thermiques (Mwh),42401.0
Bretagne,53,01/01/2024,Production d'électricité par panneaux solaires thermiques (Mwh),43359.0
Bretagne,53,01/01/2000,Puissance installée d'électricité par panneaux solaires thermiques (kw),0.0
Bretagne,53,01/01/2001,Puissance installée d'électricité par panneaux solaires thermiques (kw),0.0
Bretagne,53,01/01/2002,Puissance installée d'électricité par panneaux solaires thermiques (kw),0.0
Bretagne,53,01/01/2003,Puissance installée d'électricité par panneaux solaires thermiques (kw),50.0
Bretagne,53,01/01/2004,Puissance installée d'électricité par panneaux solaires thermiques (kw),190.0
Bretagne,53,01/01/2005,Puissance installée d'électricité par panneaux solaires thermiques (kw),530.0
Bretagne,53,01/01/2006,Puissance installée d'électricité par panneaux solaires thermiques (kw),1410.0
Bretagne,53,01/01/2007,Puissance installée d'électricité par panneaux solaires thermiques (kw),2310.0
Bretagne,53,01/01/2008,Puissance installée d'électricité par panneaux solaires thermiques (kw),3090.0
Bretagne,53,01/01/2009,Puissance installée d'électricité par panneaux solaires thermiques (kw),3860.0
Bretagne,53,01/01/2010,Puissance installée d'électricité par panneaux solaires thermiques (kw),4560.0
Bretagne,53,01/01/2011,Puissance installée d'électricité par panneaux solaires thermiques (kw),5410.0
Bretagne,53,01/01/2012,Puissance installée d'électricité par panneaux solaires thermiques (kw),6220.0
Bretagne,53,01/01/2013,Puissance installée d'électricité par panneaux solaires thermiques (kw),7030.0
Bretagne,53,01/01/2014,Puissance installée d'électricité par panneaux solaires thermiques (kw),7680.0
Bretagne,53,01/01/2015,Puissance installée d'électricité par panneaux solaires thermiques (kw),8520.0
Bretagne,53,01/01/2016,Puissance installée d'électricité par panneaux solaires thermiques (kw),9220.0
Bretagne,53,01/01/2017,Puissance installée d'électricité par panneaux solaires thermiques (kw),10090.0
Bretagne,53,01/01/2018,Puissance installée d'électricité par panneaux solaires thermiques (kw),10410.0
Bretagne,53,01/01/2019,Puissance installée d'électricité par panneaux solaires thermiques (kw),10670.0
Bretagne,53,01/01/2020,Puissance installée d'électricité par panneaux solaires thermiques (kw),10870.0
Bretagne,53,01/01/2021,Puissance installée d'électricité par panneaux solaires thermiques (kw),11290.0
Bretagne,53,01/01/2022,Puissance installée d'électricité par panneaux solaires thermiques (kw),11900.0
Bretagne,53,01/01/2023,Puissance installée d'électricité par panneaux solaires thermiques (kw),12560.0
Bretagne,53,01/01/2024,Puissance installée d'électricité par panneaux solaires thermiques (kw),12920.0
Bretagne,53,01/01/2000,Production d’hydroélectricité (Mwh),592002.0
Bretagne,53,01/01/2001,Production d’hydroélectricité (Mwh),614500.0
Bretagne,53,01/01/2002,Production d’hydroélectricité (Mwh),602999.0
Bretagne,53,01/01/2003,Production d’hydroélectricité (Mwh),569134.0
Bretagne,53,01/01/2004,Production d’hydroélectricité (Mwh),571695.0
Bretagne,53,01/01/2005,Production d’hydroélectricité (Mwh),572999.0
Bretagne,53,01/01/2006,Production d’hydroélectricité (Mwh),572645.0
Bretagne,53,01/01/2007,Production d’hydroélectricité (Mwh),575919.0
Bretagne,53,01/01/2008,Production d’hydroélectricité (Mwh),574229.0
Bretagne,53,01/01/2009,Production d’hydroélectricité (Mwh),557187.0
Bretagne,53,01/01/2010,Production d’hydroélectricité (Mwh),587739.0
Bretagne,53,01/01/2011,Production d’hydroélectricité (Mwh),554973.0
Bretagne,53,01/01/2012,Production d’hydroélectricité (Mwh),553087.0
Bretagne,53,01/01/2013,Production d’hydroélectricité (Mwh),515087.0
Bretagne,53,01/01/2014,Production d’hydroélectricité (Mwh),586093.0
Bretagne,53,01/01/2015,Production d’hydroélectricité (Mwh),579828.0
Bretagne,53,01/01/2016,Production d’hydroélectricité (Mwh),590586.0
Bretagne,53,01/01/2017,Production d’hydroélectricité (Mwh),579102.0
Bretagne,53,01/01/2018,Production d’hydroélectricité (Mwh),591257.0
Bretagne,53,01/01/2019,Production d’hydroélectricité (Mwh),591676.0
Bretagne,53,01/01/2020,Production d’hydroélectricité (Mwh),618277.0
Bretagne,53,01/01/2021,Production d’hydroélectricité (Mwh),602259.0
Bretagne,53,01/01/2022,Production d’hydroélectricité (Mwh),592234.0
Bretagne,53,01/01/2023,Production d’hydroélectricité (Mwh),571149.0
Bretagne,53,01/01/2024,Production d’hydroélectricité (Mwh),588540.0
Bretagne,53,01/01/2000,Puissance installée d'hydroélectricité (kw),4082.0
Bretagne,53,01/01/2001,Puissance installée d'hydroélectricité (kw),4082.0
Bretagne,53,01/01/2002,Puissance installée d'hydroélectricité (kw),4082.0
Bretagne,53,01/01/2003,Puissance installée d'hydroélectricité (kw),4602.0
Bretagne,53,01/01/2004,Puissance installée d'hydroélectricité (kw),4602.0
Bretagne,53,01/01/2005,Puissance installée d'hydroélectricité (kw),4602.0
Bretagne,53,01/01/2006,Puissance installée d'hydroélectricité (kw),4602.0
Bretagne,53,01/01/2007,Puissance installée d'hydroélectricité (kw),4650.0
Bretagne,53,01/01/2008,Puissance installée d'hydroélectricité (kw),4900.0
Bretagne,53,01/01/2009,Puissance installée d'hydroélectricité (kw),4900.0
Bretagne,53,01/01/2010,Puissance installée d'hydroélectricité (kw),4900.0
Bretagne,53,01/01/2011,Puissance installée d'hydroélectricité (kw),4352.0
Bretagne,53,01/01/2012,Puissance installée d'hydroélectricité (kw),5055.0
Bretagne,53,01/01/2013,Puissance installée d'hydroélectricité (kw),5055.0
Bretagne,53,01/01/2014,Puissance installée d'hydroélectricité (kw),5055.0
Bretagne,53,01/01/2015,Puissance installée d'hydroélectricité (kw),5055.0
Bretagne,53,01/01/2016,Puissance installée d'hydroélectricité (kw),5155.0
Bretagne,53,01/01/2017,Puissance installée d'hydroélectricité (kw),5155.0
Bretagne,53,01/01/2018,Puissance installée d'hydroélectricité (kw),5155.0
Bretagne,53,01/01/2019,Puissance installée d'hydroélectricité (kw),5155.0
Bretagne,53,01/01/2020,Puissance installée d'hydroélectricité (kw),5155.0
Bretagne,53,01/01/2021,Puissance installée d'hydroélectricité (kw),5235.0
Bretagne,53,01/01/2022,Puissance installée d'hydroélectricité (kw),5395.0
Bretagne,53,01/01/2023,Puissance installée d'hydroélectricité (kw),5395.0
Bretagne,53,01/01/2024,Puissance installée d'hydroélectricité (kw),5463.0
Bretagne,53,01/01/2000,Production d'électricité par incinérations de déchets (Mwh),125090.0
