libelle_commune,code_commune,date,indicateur,valeur
Brasparts,29016,01/01/2022,Points de recharge pour véhicules électriques,0.0
Brasparts,29016,01/01/2023,Points de recharge pour véhicules électriques,2.0
Brasparts,29016,01/01/2024,Points de recharge pour véhicules électriques,2.0
Brasparts,29016,01/01/2025,Points de recharge pour véhicules électriques,2.0
Brech,56023,01/01/2022,Points de recharge pour véhicules électriques,0.0
Brech,56023,01/01/2023,Points de recharge pour véhicules électriques,4.0
Brech,56023,01/01/2024,Points de recharge pour véhicules électriques,6.0
Brech,56023,01/01/2025,Points de recharge pour véhicules électriques,6.0
Brennilis,29018,01/01/2022,Points de recharge pour véhicules électriques,0.0
Brennilis,29018,01/01/2023,Points de recharge pour véhicules électriques,0.0
Brennilis,29018,01/01/2024,Points de recharge pour véhicules électriques,0.0
Brennilis,29018,01/01/2025,Points de recharge pour véhicules électriques,0.0
Brest,29019,01/01/2022,Points de recharge pour véhicules électriques,0.0
Brest,29019,01/01/2023,Points de recharge pour véhicules électriques,52.0
Brest,29019,01/01/2024,Points de recharge pour véhicules électriques,136.0
Brest,29019,01/01/2025,Points de recharge pour véhicules électriques,129.0
Breteil,35040,01/01/2022,Points de recharge pour véhicules électriques,2.0
Breteil,35040,01/01/2023,Points de recharge pour véhicules électriques,2.0
Breteil,35040,01/01/2024,Points de recharge pour véhicules électriques,0.0
Breteil,35040,01/01/2025,Points de recharge pour véhicules électriques,2.0
Brie,35041,01/01/2022,Points de recharge pour véhicules électriques,0.0
Brie,35041,01/01/2023,Points de recharge pour véhicules électriques,0.0
Brie,35041,01/01/2024,Points de recharge pour véhicules électriques,8.0
Brie,35041,01/01/2025,Points de recharge pour véhicules électriques,4.0
Briec,29020,01/01/2022,Points de recharge pour véhicules électriques,0.0
Briec,29020,01/01/2023,Points de recharge pour véhicules électriques,2.0
Briec,29020,01/01/2024,Points de recharge pour véhicules électriques,2.0
Briec,29020,01/01/2025,Points de recharge pour véhicules électriques,2.0
Brielles,35042,01/01/2022,Points de recharge pour véhicules électriques,0.0
Brielles,35042,01/01/2023,Points de recharge pour véhicules électriques,0.0
Brielles,35042,01/01/2024,Points de recharge pour véhicules électriques,0.0
Brielles,35042,01/01/2025,Points de recharge pour véhicules électriques,0.0
Brignac,56025,01/01/2022,Points de recharge pour véhicules électriques,0.0
Brignac,56025,01/01/2023,Points de recharge pour véhicules électriques,0.0
Brignac,56025,01/01/2024,Points de recharge pour véhicules électriques,0.0
Brignac,56025,01/01/2025,Points de recharge pour véhicules électriques,0.0
Bringolo,22019,01/01/2022,Points de recharge pour véhicules électriques,0.0
Bringolo,22019,01/01/2023,Points de recharge pour véhicules électriques,0.0
Bringolo,22019,01/01/2024,Points de recharge pour véhicules électriques,0.0
Bringolo,22019,01/01/2025,Points de recharge pour véhicules électriques,0.0
Broons,22020,01/01/2022,Points de recharge pour véhicules électriques,0.0
Broons,22020,01/01/2023,Points de recharge pour véhicules électriques,4.0
Broons,22020,01/01/2024,Points de recharge pour véhicules électriques,5.0
Broons,22020,01/01/2025,Points de recharge pour véhicules électriques,5.0
Broualan,35044,01/01/2022,Points de recharge pour véhicules électriques,0.0
Broualan,35044,01/01/2023,Points de recharge pour véhicules électriques,0.0
Broualan,35044,01/01/2024,Points de recharge pour véhicules électriques,0.0
Broualan,35044,01/01/2025,Points de recharge pour véhicules électriques,0.0
Bruc-sur-Aff,35045,01/01/2022,Points de recharge pour véhicules électriques,0.0
Bruc-sur-Aff,35045,01/01/2023,Points de recharge pour véhicules électriques,0.0
Bruc-sur-Aff,35045,01/01/2024,Points de recharge pour véhicules électriques,0.0
Bruc-sur-Aff,35045,01/01/2025,Points de recharge pour véhicules électriques,0.0
Brusvily,22021,01/01/2022,Points de recharge pour véhicules électriques,0.0
Brusvily,22021,01/01/2023,Points de recharge pour véhicules électriques,2.0
Brusvily,22021,01/01/2024,Points de recharge pour véhicules électriques,2.0
Brusvily,22021,01/01/2025,Points de recharge pour véhicules électriques,2.0
